distance,selection_message_size_normalized,utility,self-configuration
15.255743161216039,0.0,0.95,0.0
15.394390496281694,0.0,0.95,0.0
12.322365238230603,0.0,0.95,0.0
10.30696705108332,0.0,0.95,0.0
10.141042185373848,0.0,0.95,0.0
10.050876492103967,0.0,0.95,0.0
10.027342449758748,0.0,0.95,0.0
9.989603905307817,0.0,0.95,0.0
10.00274016630739,0.0,0.95,0.0
9.976123633994973,0.0,0.95,0.0
10.005905803350316,0.0,0.95,0.0
9.976389505069562,0.0,0.95,0.0
10.018181104356586,0.0,0.95,0.0
9.980212390609552,0.0,0.95,0.0
10.033607989034465,0.0,0.95,0.0
9.984966849063653,0.0,0.95,0.0
10.049821202028056,0.0,0.95,0.0
9.990450010062943,0.0,0.95,0.0
10.065568855062224,0.0,0.95,0.0
9.997007139472714,0.0,0.95,0.0
10.078783942502639,0.0,0.95,0.0
9.999858218963254,0.0,0.95,0.0
10.084591579267112,0.0,0.95,0.0
9.999485569320257,0.0,0.95,0.0
10.087172530507587,0.0,0.95,0.0
9.99867076050137,0.0,0.95,0.0
10.08844738900899,0.0,0.95,0.0
9.998027589217656,0.0,0.95,0.0
10.08912024059822,0.0,0.95,0.0
9.997608507556436,0.0,0.95,0.0
10.089489752229156,0.0,0.95,0.0
9.99735679573763,0.0,0.95,0.0
10.089696614705474,0.0,0.95,0.0
9.99720928475898,0.0,0.95,0.0
10.089811721791705,0.0,0.95,0.0
9.997124370578263,0.0,0.95,0.0
10.089876939790202,0.0,0.95,0.0
9.99707573178432,0.0,0.95,0.0
10.089914131684793,0.0,0.95,0.0
9.99704799037886,0.0,0.95,0.0
12.749943863991845,0.0,0.95,0.0
11.383088283269863,0.0,0.95,0.0
9.911616823489041,0.0,0.95,0.0
9.949329175849627,0.0,0.95,0.0
9.914947910294103,0.0,0.95,0.0
9.963482105801958,0.0,0.95,0.0
9.918577354109047,0.0,0.95,0.0
9.978486571551429,0.0,0.95,0.0
9.922522332992529,0.0,0.95,0.0
9.99322936098929,0.0,0.95,0.0
9.927302706735048,0.0,0.95,0.0
10.007015257459756,0.0,0.95,0.0
9.933255336947298,0.0,0.95,0.0
10.019628611358229,0.0,0.95,0.0
9.940352757808938,0.0,0.95,0.0
10.031208873711591,0.0,0.95,0.0
9.948353522824988,0.0,0.95,0.0
10.042034851206267,0.0,0.95,0.0
9.95697841999737,0.0,0.95,0.0
10.0523617709311,0.0,0.95,0.0
9.965996099857875,0.0,0.95,0.0
10.06237873458224,0.0,0.95,0.0
9.974500667173402,0.0,0.95,0.0
10.068916181727161,0.0,0.95,0.0
9.977672573813834,0.0,0.95,0.0
10.070830597255792,0.0,0.95,0.0
9.978518135010518,0.0,0.95,0.0
10.071409058118348,0.0,0.95,0.0
9.97872660600109,0.0,0.95,0.0
10.071595737650796,0.0,0.95,0.0
9.978770329753502,0.0,0.95,0.0
10.071658296470957,0.0,0.95,0.0
9.978772675961523,0.0,0.95,0.0
10.071684532220615,0.0,0.95,0.0
9.978768537184237,0.0,0.95,0.0
10.07169646285547,0.0,0.95,0.0
9.978764720271897,0.0,0.95,0.0
10.07170046607257,0.0,0.95,0.0
9.97876076030849,0.0,0.95,0.0
10.071703563299081,0.0,0.95,0.0
13.809500177583573,0.0,0.9764799234668926,0.0
12.467932026408072,0.0,0.9764799234668926,0.0
10.415826536975715,0.0,0.9764799234668926,0.0
10.18893252482303,0.0,0.9764799234668926,0.0
10.065413613759844,0.0,0.9764799234668926,0.0
10.024649290823774,0.0,0.9764799234668926,0.0
9.975485695922686,0.0,0.9764799234668926,0.0
9.983937524224103,0.0,0.9764799234668926,0.0
9.952245528901884,0.0,0.9764799234668926,0.0
9.981447641398148,0.0,0.9764799234668926,0.0
9.948480976905387,0.0,0.9764799234668926,0.0
9.991190670158744,0.0,0.9764799234668926,0.0
9.950067229237789,0.0,0.9764799234668926,0.0
10.004922107961704,0.0,0.9764799234668926,0.0
9.95324059828846,0.0,0.9764799234668926,0.0
10.019564221290352,0.0,0.9764799234668926,0.0
9.957443983284577,0.0,0.9764799234668926,0.0
10.033701936273076,0.0,0.9764799234668926,0.0
9.962850166170398,0.0,0.9764799234668926,0.0
10.046767792849693,0.0,0.9764799234668926,0.0
9.969485754459384,0.0,0.9764799234668926,0.0
10.058734873562685,0.0,0.9764799234668926,0.0
9.976584601968511,0.0,0.9764799234668926,0.0
10.06691130152376,0.0,0.9764799234668926,0.0
9.97898456499047,0.0,0.9764799234668926,0.0
10.069711426288904,0.0,0.9764799234668926,0.0
9.979302013249566,0.0,0.9764799234668926,0.0
10.070780274541875,0.0,0.9764799234668926,0.0
9.979184347601773,0.0,0.9764799234668926,0.0
10.07123929575323,0.0,0.9764799234668926,0.0
9.979032802673885,0.0,0.9764799234668926,0.0
10.071458706292617,0.0,0.9764799234668926,0.0
9.97892155048595,0.0,0.9764799234668926,0.0
10.071570661578392,0.0,0.9764799234668926,0.0
9.97885272488412,0.0,0.9764799234668926,0.0
10.071629819069813,0.0,0.9764799234668926,0.0
9.978811305497914,0.0,0.9764799234668926,0.0
10.071663549219977,0.0,0.9764799234668926,0.0
9.978788530444888,0.0,0.9764799234668926,0.0
10.071682974254998,0.0,0.9764799234668926,0.0
14.006012326064848,0.0,0.9764799234668926,0.0
13.579436688967427,0.0,0.9764799234668926,0.0
11.3589071324593,0.0,0.9764799234668926,0.0
10.51121197231349,0.0,0.9764799234668926,0.0
10.218670062861946,0.0,0.9764799234668926,0.0
10.095898084249924,0.0,0.9764799234668926,0.0
10.027148823113762,0.0,0.9764799234668926,0.0
9.994849042034403,0.0,0.9764799234668926,0.0
9.975198105673982,0.0,0.9764799234668926,0.0
9.97097947941792,0.0,0.9764799234668926,0.0
9.965725687374984,0.0,0.9764799234668926,0.0
9.970713809127517,0.0,0.9764799234668926,0.0
9.969111516832811,0.0,0.9764799234668926,0.0
9.977742006901906,0.0,0.9764799234668926,0.0
9.976297547706537,0.0,0.9764799234668926,0.0
9.987131788386108,0.0,0.9764799234668926,0.0
9.984480835813116,0.0,0.9764799234668926,0.0
9.99743275799591,0.0,0.9764799234668926,0.0
9.992742086794976,0.0,0.9764799234668926,0.0
10.00827715507316,0.0,0.9764799234668926,0.0
