weight_message_size,weight_distance,distance,weight_message_size_normalized,utility,self-configuration
0,0.0,11.209166406000236,0.0,0.9155153975432002,0.0
0,0.0,11.209166346239895,0.0,0.9155153975432002,0.0
0,0.0,13.976032017339726,0.0,0.9155153975432002,0.0
0,0.0,13.129571338705423,0.0,0.9155153975432002,0.0
0,0.0,10.966070049757684,0.0,0.9155153975432002,0.0
0,0.0,10.038712445197165,0.0,0.9155153975432002,0.0
0,0.0,10.04655970418493,0.0,0.9155153975432002,0.0
0,0.0,10.18780230123123,0.0,0.9155153975432002,0.0
0,0.0,10.246084364181698,0.0,0.9155153975432002,0.0
0,0.0,10.30128450936941,0.0,0.9155153975432002,0.0
0,0.0,10.34974708856285,0.0,0.9155153975432002,0.0
0,0.0,10.396936750962467,0.0,0.9155153975432002,0.0
0,0.0,10.44341997911222,0.0,0.9155153975432002,0.0
0,0.0,10.489697738130488,0.0,0.9155153975432002,0.0
0,0.0,10.535625975511806,0.0,0.9155153975432002,0.0
0,0.0,10.581154146517406,0.0,0.9155153975432002,0.0
0,0.0,10.626587069300598,0.0,0.9155153975432002,0.0
0,0.0,10.671975765437423,0.0,0.9155153975432002,0.0
0,0.0,10.71734832063649,0.0,0.9155153975432002,0.0
0,0.0,10.762715678310457,0.0,0.9155153975432002,0.0
0,0.0,10.80808191541712,0.0,0.9155153975432002,0.0
0,0.0,10.853446888905296,0.0,0.9155153975432002,0.0
0,0.0,10.898811814709743,0.0,0.9155153975432002,0.0
0,0.0,10.94417721735141,0.0,0.9155153975432002,0.0
0,0.0,10.989541809369882,0.0,0.9155153975432002,0.0
0,0.0,11.034905304662855,0.0,0.9155153975432002,0.0
0,0.0,11.080269920523191,0.0,0.9155153975432002,0.0
0,0.0,11.125636443732134,0.0,0.9155153975432002,0.0
0,0.0,11.169106084883907,0.0,0.9155153975432002,0.0
0,0.0,11.196257476333216,0.0,0.9155153975432002,0.0
0,0.0,11.20396020597832,0.0,0.9155153975432002,0.0
0,0.0,11.207324480423182,0.0,0.9155153975432002,0.0
0,0.0,11.208463379692631,0.0,0.9155153975432002,0.0
